chr1	569076	569756	681	MTATP6P1	+
chr1	762988	794826	31839	RP11-206L10.11	+
chr1	860260	879955	19696	SAMD11	+
chr1	879584	894689	15106	NOC2L	-
chr1	895967	901095	5129	KLHL17	+
chr1	934342	935552	1211	HES4	-
chr1	948803	949920	1118	ISG15	+
chr1	955503	991496	35994	AGRN	+
chr1	995114	1004735	9622	RP11-465B22.3	+
chr1	1017198	1051741	34544	C1orf159	-
chr1	1152288	1167411	15124	SDF4	-
chr1	1167629	1170421	2793	B3GALT6	+
chr1	1189289	1209265	19977	UBE2J2	-
chr1	1227756	1244989	17234	ACAP3	-
chr1	1243947	1247057	3111	PUSL1	+
chr1	1246965	1260071	13107	CPSF3L	-
chr1	1260136	1264277	4142	GLTPD1	+
chr1	1270656	1284730	14075	DVL1	-
chr1	1288069	1297157	9089	MXRA8	-
chr1	1309110	1310875	1766	AURKAIP1	-
chr1	1321091	1334708	13618	CCNL2	-
chr1	1334902	1337426	2525	RP4-758J18.2	+
chr1	1337288	1342693	5406	MRPL20	-
chr1	1370241	1378262	8022	VWA1	+
chr1	1407143	1433228	26086	ATAD3B	+
chr1	1447531	1470067	22537	ATAD3A	+
chr1	1477053	1510249	33197	SSU72	-
chr1	1533392	1535476	2085	C1orf233	-
chr1	1550795	1565990	15196	MIB2	+
chr1	1570603	1590473	19871	CDK11B	-
chr1	1592939	1624167	31229	SLC35E2B	-
chr1	1682671	1711896	29226	NADK	-
chr1	1716729	1822495	105767	GNB1	-
chr1	1849029	1850712	1684	TMEM52	-
chr1	2115903	2144159	28257	C1orf86	-
chr1	2160134	2241558	81425	SKI	+
chr1	2323267	2336883	13617	RER1	+
chr1	2336236	2345236	9001	PEX10	-
chr1	2439972	2458039	18068	PANK4	-
chr1	2517930	2522908	4979	FAM213B	+
chr1	3541566	3546691	5126	TPRG1L	+
chr1	3547331	3569325	21995	WRAP73	-
chr1	3652548	3663900	11353	TP73-AS1	-
chr1	3689352	3692546	3195	SMIM1	+
chr1	3696784	3713068	16285	LRRC47	-
chr1	3728645	3773778	45134	CEP104	-
chr1	3773845	3801993	28149	DFFB	+
chr1	3805689	3816857	11169	C1orf174	-
chr1	5922871	6052533	129663	NPHP4	-
chr1	6051526	6161253	109728	KCNAB2	+
